기준일ID,시간대구분,시군구명,읍면동명,총생활인구수,남자 10대,남자 20대,남자 30대,남자 40대,남자 50대,남자 60대,남자 70대,여자 10대,여자 20대,여자 30대,여자 40대,여자 50대,여자 60대,여자 70대
평일(7월5일),3,서대문구,신촌동,49806.1669,998.0419,3602.9818,1595.1311,1314.0239,1168.6799,570.8097,1539.7206,1864.3583,4972.6346,1572.3946,1296.8716,1201.241,934.7822,2225.1688
평일(7월5일),3,서대문구,연희동,47314.3826,1047.9794,3055.9793,1714.2673,1733.3404,1269.8298,779.1212,2119.7075,1148.0575,2702.09,1855.5116,1739.7745,1529.052,1122.7994,3260.0793
평일(7월5일),3,서대문구,홍제제1동,32279.8737,823.497,937.7929,1010.1171,1287.2366,1223.9411,785.1303,1740.7054,876.8735,996.2765,1166.7437,1313.3952,1553.2694,903.477,2864.7324
평일(7월5일),3,서대문구,홍제제3동,19249.1844,565.8671,603.6375,542.187,768.7464,672.9481,434.5024,1025.5635,570.5073,619.0355,605.0154,874.1937,838.2417,636.5953,1935.2421
평일(7월5일),3,서대문구,홍제제2동,9799.3343,222.635,264.9799,315.6661,342.072,369.1323,229.3229,564.0055,255.2594,322.8435,404.8929,406.2941,465.4088,284.0639,1056.9135
평일(7월5일),3,서대문구,홍은제1동,17481.0066,625.0607,514.02,555.3868,670.0573,722.5707,438.3629,994.2141,607.8641,607.2978,532.2229,791.898,747.8542,499.5975,1493.2991
평일(7월5일),3,서대문구,홍은제2동,28597.653,916.9773,962.0626,1086.2718,1291.5472,962.0884,605.5599,1351.8876,851.8065,1086.0386,1015.8701,1221.788,1118.5751,795.1271,2312.5708
평일(7월5일),3,서대문구,남가좌제1동,17779.6342,370.895,419.1024,756.627,727.3766,533.2532,251.2429,836.429,335.6901,523.4739,940.4614,709.7401,623.3062,435.0859,1087.7231
평일(7월5일),3,서대문구,남가좌제2동,21330.0812,564.947,909.1108,672.2243,847.6436,635.1681,410.3407,1113.8956,655.8661,785.5576,841.2037,940.1004,794.8739,620.2276,1767.7013
평일(7월5일),3,서대문구,북가좌제1동,17830.9804,494.7054,533.5592,680.1741,758.122,632.7412,395.1877,817.972,469.9622,616.3941,830.7598,782.5881,722.4557,486.5027,1303.6307
평일(7월5일),3,서대문구,북가좌제2동,38570.883,1067.2596,1337.3788,1535.578,1623.745,1412.0018,888.2423,1926.8331,1048.5864,1310.2317,1291.4962,1599.7384,1829.6641,1156.4835,3270.4426
